title_en,title_am,similarity_score,alternative_position,reason
Appstore Account Creator,,0,App Store Manager,Managing app store accounts is akin to app store management roles in Ethiopia.
APSA Researcher,,0,Research Assistant,"APSA researcher likely involves research support, matching research assistant positions."
APTS Outcome Assessment Consultant,,0,Assessment Consultant,Outcome assessment consulting aligns with general assessment consultant roles in Ethiopia.
Arabic and mandarin language text content creator,,0,Content Writer,Creating text content in Arabic and Mandarin is a specialized content writing role.
Arabic audio recording project,,0,Audio Transcriber,An Arabic audio recording project likely involves transcription or audio processing.
Arabic Language Professional,,0,Translator,Arabic language professional typically works as a translator or interpreter in Ethiopia.
Arc GIS assignment assistance,,0,GIS Technician,"Involves GIS tasks, specifically ArcGIS assignment help."
Arc GIS assignment assistant,,0,GIS Technician,"Similar to above, providing ArcGIS assignment assistance."
Architectural CAD file to 3d model,,0,BIM Modeler,Converting architectural CAD files to 3D models is a core BIM task.
"Architectural Modeling,Visualization and Rendering specialist",,0,Architectural Visualizer,"Specializes in architectural modeling, visualization, and rendering."
ARCHITECTURAL TV SHOW HOST,,0,TV Show Host,"Hosting an architectural TV show, not a technical architecture role."
Archtects Junior/Senior Who Wants to Present Theire Built/Unbuilt Projects For Tv Audience,,0,Architect,"Architects presenting projects for TV, regardless of seniority."
AR Drawing Production for permit purposes,,0,CAD Technician,Producing AR drawings for permit purposes is a CAD technician role.
Arduino and related project consultant,,0,Embedded Systems Consultant,Consulting on Arduino and related projects.
Arduino Drone or Robotic Arm kit,,0,Embedded Systems Engineer,Working with Arduino drone or robotic arm kits.
"Arduino, Software engineer, knowledge of PCB.",,0,Embedded Software Engineer,"Combines Arduino, software engineering, and PCB knowledge."
Area Lead- Deris Wanaag,,0,Area Manager,Area Lead is a common synonym for Area Manager in Ethiopian context.
Area Sales Head,,0,Regional Sales Manager,Area Sales Head is equivalent to a regional sales leadership role.
Area Sales Representative Addis Ababa,,0,Sales Representative,Area Sales Representative is a direct match to Sales Representative.
Arichive/ Documentation/officer,,0,Documentation Officer,Arichive/Documentation/officer is a misspelling of Archive/Documentation Officer.
Arki sport betting,,0,Sports Betting Agent,Arki sport betting refers to a sports betting agent or cashier role.
Article writer with a Psychology background,,0,Content Writer,Article writer with Psychology background maps to Content Writer with specialization.
Artifical grass (Carpet) supplier,,0,Sales Representative,Artificial grass supplier is a sales role for construction materials.
transitor,,0,Transporter,"Transitor is a misspelling of Transporter, a logistics role."
ASP.NET MVC Developer to help me complete my project,,0,ASP.NET Developer,ASP.NET MVC Developer is a specific type of ASP.NET Developer.
Assessment & Examination Unit Head,,0,Assessment Coordinator,Assessment & Examination Unit Head is equivalent to an Assessment Coordinator in education.
Assessment of Payments for Ecosystem Services (PES) in CLM Project Watersheds,,0,Environmental Economist,Focuses on economic valuation of ecosystem services in watershed projects.
Assessor (Job by - Unity Business Group),,0,Assessor,Direct match to the job title provided.
Assessor/ Transistors,,0,Electronics Technician,Assessor/Transistors likely involves testing or evaluating electronic components.
Assignment Editor,,0,Assignment Editor,Direct match to the job title provided.
Assistance Coordinator (Data to Action and Maternal Immunization Study),,0,Program Coordinator,Coordinates assistance for data and immunization studies.
Assistant 3rd Party Recovery Officer,,0,Recovery Officer,Assists in third-party debt recovery operations.
Assistant Chief for Burger & Pizza,,0,Kitchen Manager,Oversees burger and pizza preparation as assistant chief.
Assistant Client Communication Specialist (English fluent),,0,Client Communication Specialist,Assists in client communication with English fluency requirement.
Assistant for Booking and Scheduling Meetings,,0,Administrative Assistant,Handles booking and scheduling meetings.
Assistant for Dump tracks,,0,Heavy Equipment Operator,Assists with dump truck operations.
Assistant foreman,,0,Foreman,Assistant foreman is a junior foreman role; standardized as Foreman.
Assistant for Follow-Up,,0,Follow-Up Officer,Assistant for Follow-Up implies a role focused on monitoring and tracking; standardized as Follow-Up Officer.
Assistant GSE Operator,,0,GSE Operator,Assistant GSE Operator is a junior ground support equipment operator; standardized as GSE Operator.
Assistant Lobed Operator,,0,Lobed Operator,Assistant Lobed Operator is a junior operator for lobed machinery; standardized as Lobed Operator.
Assistant Matron,,0,Matron,Assistant Matron is a junior matron role; standardized as Matron.
Assistant Palletizer Operator,,0,Palletizer Operator,Assistant Palletizer Operator is a junior palletizer operator; standardized as Palletizer Operator.
Assistant Professor or Associate Professor in ENT,,0,ENT Specialist,Assistant/Associate Professor in ENT is an academic role; standardized as ENT Specialist for job market.
Assistant Professor or Associate Professor in Gastroenterology,,0,Gastroenterologist,Assistant/Associate Professor in Gastroenterology is an academic role; standardized as Gastroenterologist.
Assistant Professor or Associate Professor in Medical Oncology,,0,Medical Oncologist,Assistant/Associate Professor in Medical Oncology is an academic role; standardized as Medical Oncologist.
Assistant Professor or Associate Professor in Pediatrics or Neurology,,0,Pediatric Neurologist,Assistant/Associate Professor in Pediatrics or Neurology is an academic role; standardized as Pediatric Neurologist.
Assistant Professor or Associate Professor in Urology,,0,Urology Professor,Standard academic title for a urology faculty member in Ethiopian universities.
Assistant Spare Parts & General Items Store Keeper,,0,Store Keeper,Common Ethiopian job title for inventory and spare parts management.
Assistant to the African Union Team,,0,Administrative Assistant,Standard support role for international organizations like the African Union.
Assistant Towing Machine Operator,,0,Towing Machine Operator,Direct match for operating towing equipment in Ethiopian industrial contexts.
Assistant Treatment Machine Operator,,0,Treatment Machine Operator,Standard title for operating treatment machinery in Ethiopian factories or utilities.
Assistant Utility Operator,,0,Utility Operator,Common Ethiopian job for managing utility systems like water or electricity.
Associate-Business Process Solution,,0,Business Process Associate,Standard Ethiopian corporate title for process improvement roles.
Associate Customer Relationship Manager (IFB),,0,Customer Relationship Manager,Standard title for CRM roles in Ethiopian banks or firms (IFB context).
Associate ERP Support Specialist (It has been re-advertising as insufficient applicants were not found in the previous advertisement.),,0,ERP Support Specialist,Standard IT role for ERP system support in Ethiopian organizations.
"Associate, Health Financing",,0,Health Financing Associate,Standard title for health finance roles in Ethiopian NGOs or government.
Associate I-Risk and Legal,,0,Risk and Compliance Officer,"Combines risk management and legal oversight, common in Ethiopian financial institutions."
Associate KYC Officer,,0,KYC Officer,Standard title for customer due diligence roles in Ethiopian banks.
Associate Researcher II,,0,Research Associate,Common academic or policy research role in Ethiopian universities and think tanks.
Associate - Transaction Advisory Services,,0,Transaction Advisory Associate,Direct mapping for consulting roles in Ethiopian advisory firms.
Asst. Director of Sales & Marketing,,0,Sales and Marketing Director,Senior leadership role typical in Ethiopian hospitality and retail sectors.
Attorney Litigation- Addis Ababa,,0,Litigation Attorney,Standard legal title for court representation in Ethiopia.
Audio Advert,,0,Audio Advertising Specialist,Focuses on creating audio ads for Ethiopian radio and digital media.
Audio book narrator,,0,Audiobook Narrator,Direct mapping for voice-over work in Ethiopian publishing.
Audio Narrator for youtube,,0,YouTube Voice-Over Artist,Specific to digital content creation for Ethiopian YouTube channels.
